-23.690280000;-46.593550000
-23.689870000;-46.593090000
-23.689450000;-46.592700000
-23.689230000;-46.592470000
-23.689140000;-46.592360000
-23.689110000;-46.592190000
-23.689100000;-46.590800000
-23.689560000;-46.590630000
-23.690300000;-46.590410000
-23.690430000;-46.590350000
-23.690470000;-46.590320000
-23.690520000;-46.590300000
-23.690680000;-46.590180000
-23.690750000;-46.590110000
-23.690790000;-46.590080000
-23.690870000;-46.589980000
-23.690900000;-46.589930000
-23.690940000;-46.589880000
-23.691050000;-46.589700000
-23.691200000;-46.589270000
-23.691300000;-46.589030000
-23.691550000;-46.588230000
-23.691550000;-46.588190000
-23.691560000;-46.588170000
-23.691570000;-46.588130000
-23.691570000;-46.588090000
-23.691580000;-46.588070000
-23.691590000;-46.587820000
-23.691580000;-46.587740000
-23.691540000;-46.586420000
-23.691510000;-46.586220000
-23.691510000;-46.586130000
-23.691520000;-46.586060000
-23.691590000;-46.585850000
-23.691680000;-46.585740000
-23.692420000;-46.585300000
-23.692740000;-46.585090000
-23.692670000;-46.584760000
-23.692460000;-46.583960000
-23.692460000;-46.583840000
-23.692480000;-46.583750000
-23.692500000;-46.583730000
-23.692630000;-46.583470000
-23.692640000;-46.583470000
-23.692650000;-46.583440000
-23.692650000;-46.583430000
-23.692660000;-46.583400000
-23.692660000;-46.583380000
-23.692670000;-46.583360000
-23.692670000;-46.583320000
-23.692680000;-46.583290000
-23.692680000;-46.583250000
-23.692480000;-46.582820000
-23.692370000;-46.582520000
-23.692320000;-46.582420000
-23.692240000;-46.582220000
-23.692120000;-46.581780000
-23.691900000;-46.581280000
-23.691780000;-46.581090000
-23.691450000;-46.580650000
-23.691370000;-46.580560000
-23.691270000;-46.580410000
-23.691000000;-46.579900000
-23.690950000;-46.579760000
-23.690920000;-46.579700000
-23.690850000;-46.579460000
-23.690840000;-46.579440000
-23.690830000;-46.579390000
-23.690830000;-46.579370000
-23.690800000;-46.579230000
-23.690800000;-46.579110000
-23.690730000;-46.578700000
-23.690690000;-46.578290000
-23.690690000;-46.578210000
-23.690680000;-46.578160000
-23.690680000;-46.578120000
-23.690660000;-46.578030000
-23.690660000;-46.577980000
-23.689690000;-46.574010000
-23.689660000;-46.573690000
-23.689660000;-46.573290000
-23.689560000;-46.571700000
-23.689550000;-46.571650000
-23.689550000;-46.571310000
-23.689560000;-46.571260000
-23.689560000;-46.571210000
-23.689570000;-46.571150000
-23.689570000;-46.571100000
-23.689580000;-46.571060000
